Id,Brand,Model,Rank,Benchmark
1277,Intel,Core i9-10900K,1,102
1278,Intel,Xeon E3110,855,44.2
1279,AMD,A6-6400K APU,854,44.3
1280,Intel,Pentium 2117U,853,44.3
1281,Intel,Xeon E5405,852,44.4
1282,Intel,Core i5-2537M,851,44.5
1283,Intel,Core M-5Y10c,850,44.6
1284,Intel,Core m3-6Y30,849,44.6
1285,Intel,Core m5-6Y57,848,44.6
1286,Intel,Core2 Duo E8500,847,44.6
1287,Intel,Core m5-6Y54,846,44.6
1288,Intel,Celeron 1037U,845,44.7
1289,AMD,A8-5550M APU,844,44.8
1290,Intel,Core i5-3339Y,843,44.8
1291,Intel,Pentium B940,842,44.9
1292,Intel,Core M-5Y71,841,45
1293,Intel,Celeron 1000M,856,44.2
1294,Intel,Core2 Quad Q9000,857,44.1
1295,Intel,Xeon E5345,858,44.1
1296,AMD,A4-6300 APU,859,44
1297,Intel,Core i7 M 620,875,43.1
1298,Intel,Core i3-2367M,874,43.1
1299,AMD,Athlon II X2 245,873,43.2
1300,AMD,A8-3530MX APU,872,43.2
1301,Intel,Core2 Duo E8400,871,43.3
1302,AMD,Athlon II X2 250 (2013 D.Ri),870,43.3
1303,Intel,Core i5 M 580,869,43.3
1304,AMD,Athlon II X3 425,840,45
1305,AMD,Phenom II N950,868,43.4
1306,Intel,Celeron B830,866,43.4
1307,AMD,A6-5400K APU,865,43.4
1308,Intel,Core i7 M 640,864,43.5
1309,AMD,Phenom II N660,863,43.5
1310,Intel,Core m7-6Y75,862,43.5
1311,Intel,Core M-5Y51,861,43.6
1312,Intel,Core i3-2375M,860,43.9
1313,AMD,Phenom 8650 Triple-Core,867,43.4
1314,Intel,Pentium B950,839,45
1315,Intel,Pentium 3805U,838,45
1316,Intel,Core i5-8200Y,837,45.1
1317,AMD,Phenom 9550,816,45.8
1318,AMD,Athlon II X2 270,815,45.9
1319,Intel,Core M-5Y10,814,46
1320,AMD,Athlon 300U,813,46.1
1321,AMD,Athlon 64 X2 Dual Core 6400+,812,46.2
1322,Intel,Core i3-3217U,811,46.3
1323,AMD,Ryzen 3 3200U,810,46.3
1324,Intel,Core2 Quad,817,45.8
1325,Intel,Core i5-2467M,809,46.3
1326,AMD,Phenom 9650,807,46.6
1327,AMD,FX-9830P APU (2016 M.BR),806,46.6
1328,Intel,Core m3-7Y30,805,46.7
1329,Intel,Xeon X3220,804,46.7
1330,Intel,Core i3 540,803,46.7
1331,AMD,Ryzen 3 2200U,802,46.8
1332,AMD,Athlon II X3 435,801,46.8
1333,Intel,Core i3-4005U,808,46.5
1334,Intel,Core i3-4012Y,876,43.1
1335,Intel,Core M-5Y10a,818,45.7
1336,AMD,A4-6320 APU,820,45.7
1337,AMD,Athlon II X2 255,836,45.1
1338,AMD,A6-3620 APU,835,45.1
1339,Intel,Core i5-4210Y,834,45.1
1340,AMD,Athlon II X2 B24,833,45.1
1341,Intel,Core i7-7Y75,832,45.2
1342,Intel,Core2 Quad Q6600,831,45.3
1343,AMD,Athlon II X2 260,830,45.3
1344,Intel,Celeron 1005M,819,45.7
1345,Intel,Pentium 2127U,829,45.4
1346,AMD,A10-5750M APU,827,45.4
1347,AMD,A10-4600M APU,826,45.5
1348,Intel,Core2 Quad Q8200,825,45.5
1349,Intel,Core i5-4300Y,824,45.6
1350,Intel,Pentium B960,823,45.6
1351,AMD,A10-5757M APU,822,45.6
1352,Intel,Core2 Duo E8600,821,45.6
1353,Intel,Core M-5Y70,828,45.4
1354,Intel,Core2 Extreme X9100,877,43.1
1355,Intel,Celeron B820,878,43
1356,AMD,A8-3510MX APU,879,42.9
1357,Intel,Core i5 M 450,935,40.6
1358,AMD,A6-3410MX APU,934,40.6
1359,Intel,Celeron 3205U,933,40.7
1360,Intel,Celeron B800,932,40.7
1361,Intel,Pentium E6600,931,40.8
1362,Intel,Core2 6700,930,40.8
1363,AMD,Athlon 64 X2 Dual Core 5600+,929,40.8
1364,AMD,Phenom II N830,936,40.6
1365,AMD,Athlon 7750,928,40.8
1366,AMD,A8-3520M APU,926,40.9
1367,Intel,Core2 Duo T9600,925,41
1368,Intel,Core i7 L 640,924,41
1369,AMD,Athlon II X2 220,923,41
1370,Intel,Celeron 877,922,41
1371,Intel,Core2 Duo E7500,921,41
1372,Intel,Core2 Duo T9500,920,41.1
1373,Intel,Pentium 987,927,40.9
1374,Intel,Pentium G6950,919,41.2
1375,Intel,Core2 Duo P9500,937,40.5
1376,Intel,Core2 Duo E7400,939,40.4
1377,Intel,Core2 Duo T9400,955,39.8
1378,AMD,Athlon 64 X2 Dual Core 5400+,954,39.9
1379,Intel,Core i3 M 380,953,39.9
1380,AMD,A8-3500M APU,952,40
1381,AMD,Athlon II X2 215,951,40
1382,Intel,Core2 Duo P9600,950,40.1
1383,Intel,Core i3-2357M,949,40.1
1384,AMD,A12-9720P APU (2016 M.BR),938,40.4
1385,Intel,Core2 Duo E6750,948,40.1
1386,Intel,Celeron 2957U,946,40.2
1387,AMD,A10-9620P APU (2016 M.BR),945,40.2
1388,AMD,A12-9700P APU (2016 M.BR),944,40.2
1389,Intel,Celeron 1007U,943,40.3
1390,Intel,Pentium E6500,942,40.3
1391,Intel,Core i5 M 430,941,40.4
1392,Intel,Core2 Duo T9550,940,40.4
1393,Intel,Pentium E6300,947,40.2
1394,AMD,A10-7800 APU (2014 D.Ka),800,46.8
1395,Intel,Pentium Gold 4425Y,918,41.3
1396,AMD,Phenom 8450 Triple-Core,916,41.4
1397,AMD,A8-4500M APU,895,42.3
1398,Intel,Core2 Duo T9900,894,42.4
1399,AMD,A6-7470K APU (2014 D.Ka),893,42.4
1400,AMD,Athlon 64 X2 Dual Core 6000+,892,42.4
1401,Intel,Celeron 1017U,891,42.4
1402,AMD,A4-5300 APU,890,42.4
1403,AMD,A6-3500 APU,889,42.6
1404,AMD,Phenom II N930,896,42.3
1405,Intel,Core i5 M 560,888,42.6
1406,AMD,Athlon X2 240,886,42.7
1407,Intel,Core i3-2365M,885,42.7
1408,Intel,Core i5-4202Y,884,42.7
1409,AMD,Phenom 9150e,883,42.7
1410,Intel,Pentium E6800,882,42.9
1411,AMD,Athlon II X2 240,881,42.9
1412,Intel,Core2 Duo E8300,880,42.9
1413,Intel,Celeron B815,887,42.6
1414,Intel,Core i5 M 460,917,41.4
1415,AMD,Athlon 7850,897,42.3
1416,AMD,Phenom II N850,899,42.1
1417,AMD,A4-4000 APU,915,41.4
1418,Intel,Pentium Silver J5005,914,41.5
1419,AMD,FX-9800P APU (2016 M.BR),913,41.6
1420,Intel,Core2 Duo E6850,912,41.6
1421,Intel,Pentium E6700,911,41.6
1422,Intel,Core i5 M 520,910,41.6
1423,Intel,Core2 X6800,909,41.7
1424,Intel,Core2 Duo T9800,898,42.3
1425,Intel,Core2 Duo P9700,908,41.8
1426,Intel,Core i5 M 540,906,41.9
1427,Intel,Core i5 M 480,905,42
1428,AMD,FX-7600P APU (2014 M.Ka),904,42
1429,Intel,Celeron 887,903,42
1430,Intel,Core2 Duo E8200,902,42.1
1431,Intel,Xeon E5335,901,42.1
1432,Intel,Core i3 M 390,900,42.1
1433,Intel,Core2 Duo E7600,907,41.9
1434,Intel,Core i3-3227U,799,46.8
1435,Intel,Core i3 530,798,46.9
1436,AMD,Phenom II X2 545,797,47
1437,Intel,Core i5-4200U,696,51.2
1438,Intel,Core i7-4550U,695,51.2
1439,Intel,Celeron G1820,694,51.2
1440,AMD,Athlon II X4 860K,693,51.3
1441,Intel,Celeron G1620,692,51.3
