Id,Brand,Model,Rank,Benchmark
1173,Nvidia,GeForce 7150M / nForce 630M,652,0.05
1174,MSI,MSI GTX 1060 3GB ARMOR 3G OCV1,78,52.9
1175,Gigabyte,Gigabyte GTX 1060 3GB G1 Gaming R2,78,52.9
1176,AMD,R9 290X,79,52.9
1177,Sapphire,Sapphire R9 290X 4GB TRI-X OC,79,52.9
1178,Asus,Asus R9 290X 4GB DirectCU II,79,52.9
1179,XFX,XFX R9 290X 4GB Double Dissipation,79,52.9
1180,MSI,MSI GTX 1060 3GB 3GT OC,78,52.9
1181,AMD,R9 295X2 (CrossFire Disabled),80,50.8
1182,MSI,MSI GTX 970 4GB Gaming,81,50.5
1183,Asus,ASUS GTX 970 4GB STRIX OC,81,50.5
1184,EVGA,EVGA GTX 970 4GB Super Clocked ACX 2.0,81,50.5
1185,Gigabyte,Gigabyte GTX 970 4GB G1 Gaming,81,50.5
1186,Gigabyte,Gigabyte GTX 970 4GB OC Windforce,81,50.5
1187,EVGA,EVGA GTX 970 4GB SSC ACX 2.0+,81,50.5
1188,Nvidia,GTX 970,81,50.5
1189,Asus,Asus GTX 970 4GB Turbo OC,81,50.5
1190,Gigabyte,Gigabyte GTX 1060 3GB Mini ITX OC,78,52.9
1191,Gigabyte,Gigabyte GTX 1060 3GB Windforce OC,78,52.9
1192,Sapphire,Sapphire RX 580 8GB Pulse Nitro+ RX,75,55.1
1193,Asus,Asus RX 580 4GB Dual OC,75,55.1
1194,AMD,R9 Nano,76,54.8
1195,Asus,Asus R9 Nano 4GB,76,54.8
1196,Asus,Asus R9 Nano 4GB White,76,54.8
1197,Gigabyte,Gigabyte R9 Nano 4GB,76,54.8
1198,Gigabyte,Gigabyte GTX 1060 3GB G1 Gaming,78,52.9
1199,Nvidia,GTX Titan Black,77,52.9
1200,Asus,Asus GTX 1060 3GB Dual OC,78,52.9
1201,Zotac,Zotac GTX 1060 3GB Mini,78,52.9
1202,EVGA,EVGA GTX 1060 3GB Gaming,78,52.9
1203,EVGA,EVGA GTX 1060 3GB SC Gaming,78,52.9
1204,MSI,MSI GTX 1060 3GB Gaming X,78,52.9
1205,MSI,MSI GTX 1060 3GB Gaming X,78,52.9
1206,Nvidia,GTX 1060-3GB,78,52.9
1207,EVGA,EVGA GTX 970 4GB FTW+ GAMING ACX 2.0+ w/BP,81,50.5
1208,Zotac,Zotac GTX 970 4GB Graphics Card,81,50.5
1209,AMD,R9 390,82,50.4
1210,XFX,XFX RX 480 8GB RS XXX 1288 MHz,83,48.3
1211,Asus,Asus RX 480 8GB,83,48.3
1212,Sapphire,Sapphire RX 480 8GB NITRO+,83,48.3
1213,Sapphire,Sapphire RX 480 4GB NITRO+,83,48.3
1214,Sapphire,Sapphire RX 480 4GB NITRO+,83,48.3
1215,Sapphire,Sapphire RX 480 8GB NITRO+,83,48.3
1216,XFX,XFX RX 480 4GB RS,83,48.3
1217,PowerColor,PowerColor RX 480 8GB Red Devil,83,48.3
1218,MSI,MSI RX 480 4GB Gaming X,83,48.3
1219,MSI,MSI RX 480 8GB Armor OC,83,48.3
1220,MSI,MSI RX 480 4GB Armor OC,83,48.3
1221,Asus,Asus RX 480 8GB ROG STRIX OC,83,48.3
1222,AMD,R9 290,84,47.6
1223,Sapphire,Sapphire R9 290 4GB TRI-X OC,84,47.6
1224,MSI,MSI RX 480 8GB Gaming X,83,48.3
1225,XFX,XFX RX 480 8GB Black 1338 MHz,83,48.3
1226,XFX,XFX RX 480 8GB XXX 1288 MHz,83,48.3
1227,XFX,XFX RX 480 8GB LED 1288 MHz,83,48.3
1228,MSI,MSI R9 390 8GB Gaming,82,50.4
1229,XFX,XFX R9 390 8GB Black,82,50.4
1230,XFX,XFX R9 390 8GB Double Dissipation,82,50.4
1231,XFX,XFX R9 390 8GB Double Dissipation,82,50.4
1232,XFX,XFX R9 390 8GB Black Nero,82,50.4
1233,Sapphire,Sapphire R9 390 8GB Nitro Tri-X OC +BP,82,50.4
1234,Sapphire,Sapphire R9 390 8GB Nitro Tri-X OC,82,50.4
1235,Asus,Asus R9 390 8GB STRIX,82,50.4
1236,AMD,RX 480,83,48.3
1237,AMD,Sapphire RX 480 8GB,83,48.3
1238,AMD,XFX RX 480 4GB 1266 MHz,83,48.3
1239,AMD,Sapphire RX 480 4GB,83,48.3
1240,AMD,MSI RX 480 8GB,83,48.3
1241,XFX,XFX RX 480 8GB 1328 MHz,83,48.3
1242,XFX,XFX RX 480 8GB 1288 MHz,83,48.3
1243,PowerColor,PowerColor RX 580 8GB Red Dragon V2,75,55.1
1244,XFX,XFX R9 290 4GB Double Dissipation,84,47.6
1245,XFX,XFX RX 580 8GB GTS XXX,75,55.1
1246,XFX,XFX RX 580 8GB OC+,75,55.1
1247,Asus,Asus GTX 1650 Super 4GB TUF Gaming,67,60.2
1248,EVGA,EVGA GTX 1650 Super 4GB SC Ultra,67,60.2
1249,MSI,MSI GTX 1650 Super 4GB Ventus XS,67,60.2
1250,Gigabyte,Gigabyte GTX 1650 Super 4GB 2x Windforce,67,60.2
1251,MSI,MSI GTX 1650 Super 4GB Gaming X,67,60.2
1252,Asus,Asus GTX 1650 Super 4GB Phoenix,67,60.2
1253,Zotac,Zotac GTX 1650 Super 4GB Gaming,67,60.2
1254,Nvidia,GTX Titan Z (SLI Disabled),68,58.9
1255,XFX,XFX RX 5600 XT 8GB Thicc II PRO,69,58.4
1256,AMD,RX 5500,70,57.9
1257,Nvidia,GTX 1660-Ti (Mobile Max-Q),71,57.3
1258,Nvidia,GTX 1060-6GB,72,57.2
1259,EVGA,EVGA GTX 1060 6GB Gaming,72,57.2
1260,EVGA,EVGA GTX 1060 6GB Gaming SC,72,57.2
1261,AMD,RX 5500-XT,69,58.4
